# PowerScope Version: V1.0
# Sample Rate (Hz): 6570.2604856450735
# Recording Started: 2025-10-05 22:11:37
# Number of Channels: 6
# Channel Information:
# CH1: Stream=Serial, Index=0
# CH2: Stream=Serial, Index=1
# CH3: Stream=Serial, Index=2
# CH4: Stream=Serial, Index=3
# CH5: Stream=Serial, Index=4
# CH6: Stream=Serial, Index=5
#
Sample,Time_s,CH1,CH2,CH3,CH4,CH5,CH6
88,0.013440,50.000000,198.000000,56.000000,1457.000000,1640.000000,1963.000000
89,0.013593,29.000000,184.000000,12.000000,1598.000000,1779.000000,2063.000000
90,0.013745,19.000000,161.000000,116.000000,1682.000000,1850.000000,2091.000000
91,0.013898,173.000000,75.000000,69.000000,1462.000000,1671.000000,1972.000000
92,0.014051,121.000000,11.000000,147.000000,1637.000000,1821.000000,2089.000000
93,0.014203,113.000000,28.000000,111.000000,1588.000000,1771.000000,2036.000000
94,0.014356,89.000000,103.000000,65.000000,1629.000000,1790.000000,2068.000000
95,0.014509,81.000000,130.000000,170.000000,1709.000000,1851.000000,2116.000000
96,0.014662,14.000000,146.000000,98.000000,1570.000000,1727.000000,2018.000000
97,0.014814,47.000000,199.000000,228.000000,1576.000000,1730.000000,2022.000000
98,0.014967,19.000000,161.000000,180.000000,1759.000000,1881.000000,2134.000000
99,0.015120,173.000000,75.000000,133.000000,1633.000000,1764.000000,2036.000000
100,0.015273,163.000000,44.000000,237.000000,1586.000000,1714.000000,2031.000000
101,0.015425,142.000000,2.000000,193.000000,1782.000000,1871.000000,2113.000000
102,0.015578,90.000000,99.000000,20.000000,1643.000000,1753.000000,2035.000000
103,0.015731,65.000000,176.000000,224.000000,1727.000000,1819.000000,2103.000000
104,0.015883,40.000000,198.000000,178.000000,1689.000000,1784.000000,2046.000000
105,0.016036,17.000000,155.000000,23.000000,1601.000000,1714.000000,2027.000000
106,0.016197,172.000000,72.000000,227.000000,1780.000000,1855.000000,2112.000000
107,0.016350,146.000000,7.000000,180.000000,1654.000000,1753.000000,2035.000000
108,0.016502,136.000000,0.000000,33.000000,1598.000000,1711.000000,2024.000000
109,0.016655,108.000000,41.000000,236.000000,1794.000000,1873.000000,2120.000000
110,0.016808,126.000000,4.000000,106.000000,1785.000000,1867.000000,2105.000000
111,0.016961,65.000000,176.000000,37.000000,1675.000000,1790.000000,2076.000000
112,0.017114,52.000000,197.000000,139.000000,1748.000000,1846.000000,2118.000000
113,0.017266,32.000000,189.000000,96.000000,1657.000000,1768.000000,2043.000000
114,0.017419,24.000000,174.000000,60.000000,1644.000000,1768.000000,2068.000000
115,0.017572,158.000000,30.000000,142.000000,1782.000000,1877.000000,2129.000000
116,0.017725,136.000000,0.000000,97.000000,1600.000000,1728.000000,2027.000000
117,0.017878,128.000000,2.000000,202.000000,1622.000000,1753.000000,2059.000000
118,0.018030,113.000000,28.000000,162.000000,1782.000000,1878.000000,2135.000000
119,0.018183,93.000000,89.000000,118.000000,1617.000000,1742.000000,2034.000000
120,0.018336,84.000000,120.000000,222.000000,1628.000000,1754.000000,2059.000000
121,0.018489,49.000000,199.000000,170.000000,1790.000000,1878.000000,2123.000000
122,0.018642,41.000000,199.000000,24.000000,1688.000000,1794.000000,2059.000000
123,0.018795,7.000000,124.000000,223.000000,1738.000000,1845.000000,2120.000000
124,0.018947,161.000000,38.000000,176.000000,1760.000000,1858.000000,2114.000000
125,0.019100,153.000000,19.000000,30.000000,1700.000000,1821.000000,2077.000000
126,0.019262,137.000000,0.000000,240.000000,1778.000000,1905.000000,2163.000000
127,0.019414,121.000000,11.000000,89.000000,1856.000000,1964.000000,2199.000000
128,0.019567,59.000000,188.000000,20.000000,1675.000000,1825.000000,2108.000000
129,0.019720,26.000000,178.000000,79.000000,1763.000000,1892.000000,2138.000000
130,0.019873,4.000000,113.000000,34.000000,1706.000000,1861.000000,2134.000000
131,0.020026,117.000000,19.000000,213.000000,1736.000000,1875.000000,2129.000000
132,0.020179,151.000000,15.000000,93.000000,1715.000000,1852.000000,2120.000000
133,0.020332,109.000000,38.000000,146.000000,1801.000000,1938.000000,2198.000000
134,0.020485,77.000000,143.000000,95.000000,1614.000000,1792.000000,2073.000000
135,0.020637,116.000000,21.000000,229.000000,1598.000000,1777.000000,2067.000000
136,0.020790,78.000000,140.000000,175.000000,1688.000000,1855.000000,2144.000000
137,0.020943,4.000000,113.000000,208.000000,1631.000000,1799.000000,2112.000000
138,0.021096,103.000000,56.000000,237.000000,1495.000000,1673.000000,2023.000000
139,0.021249,99.000000,69.000000,94.000000,1575.000000,1753.000000,2100.000000
140,0.021402,80.000000,134.000000,51.000000,1692.000000,1855.000000,2158.000000
141,0.021555,56.000000,192.000000,5.000000,1497.000000,1679.000000,2024.000000
142,0.021717,28.000000,182.000000,208.000000,1695.000000,1864.000000,2167.000000
143,0.021870,9.000000,130.000000,165.000000,1518.000000,1703.000000,2037.000000
144,0.022023,179.000000,96.000000,18.000000,1441.000000,1635.000000,2004.000000
145,0.022176,153.000000,19.000000,81.000000,1671.000000,1832.000000,2108.000000
146,0.022329,129.000000,2.000000,35.000000,1643.000000,1807.000000,2090.000000
147,0.022482,119.000000,15.000000,139.000000,1772.000000,1917.000000,2176.000000
148,0.022635,85.000000,117.000000,87.000000,1613.000000,1692.000000,1830.000000
149,0.022788,56.000000,192.000000,38.000000,1536.000000,1452.000000,1625.000000
150,0.022941,49.000000,199.000000,143.000000,1659.000000,1497.000000,1641.000000
151,0.023094,26.000000,178.000000,98.000000,1657.000000,1544.000000,1652.000000
152,0.023247,16.000000,152.000000,202.000000,1653.000000,1624.000000,1721.000000
153,0.023400,174.000000,79.000000,157.000000,1904.000000,1826.000000,1880.000000
154,0.023553,146.000000,7.000000,109.000000,1810.000000,1769.000000,1840.000000
155,0.023705,136.000000,0.000000,213.000000,1763.000000,1793.000000,1885.000000
156,0.023858,114.000000,25.000000,168.000000,2054.000000,2002.000000,2054.000000
157,0.024011,63.000000,180.000000,247.000000,1867.000000,1861.000000,1941.000000
158,0.024164,41.000000,199.000000,202.000000,1951.000000,1970.000000,2029.000000
159,0.024317,13.000000,143.000000,154.000000,1873.000000,1892.000000,1965.000000
160,0.024470,5.000000,117.000000,8.000000,1749.000000,1794.000000,1870.000000
